uid;name;adm_level;latitude;longitude;country_code;country_name;country_uid;provider;g0;g1;g2;g3;g4
osm_307829;Haiti;0;18.94111205;-72.90236261;HT;Haiti;osm_307829;osm;osm_307829;;;;
osm_392238;Artibonite;1;19.33206493;-72.56703345;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;;;
osm_392213;Centre;1;19.00949926;-71.98445479;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;;;
osm_391700;Grand'Anse;1;18.50685184;-74.13225822;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;;;
osm_391834;Nippes;1;18.43267547;-73.39447169;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;;;
osm_392028;Nord;1;19.6000392;-72.29726348;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;;;
osm_392189;Nord Est;1;19.50843961;-71.88960113;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;;;
osm_391963;Nord Ouest;1;19.82075065;-73.03750677;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;;;
osm_386871;Ouest;1;18.57839028;-72.42883535;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;;;
osm_2744350;Sud;1;18.27916831;-73.71643262;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;;;
osm_391953;Sud Est;1;18.25368835;-72.36687817;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;;;
osm_394463;Acul du Nord;2;19.65594804;-72.29267931;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394463;;
osm_393324;Anse a Veau;2;18.43493165;-73.44697831;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393324;;
osm_393396;Anse d'Hainault;2;18.46640477;-74.39186866;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393396;;
osm_394517;Aquin;2;18.29388318;-73.36399678;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394517;;
osm_387690;Arcahaie;2;18.84715529;-72.48401895;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387690;;
osm_394504;Bainet;2;18.22035626;-72.84487229;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394504;;
osm_407263;Barraderes;2;18.49351647;-73.68154605;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_407263;;
osm_394505;Belle Anse;2;18.23704648;-71.95919442;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394505;;
osm_394465;Borgne;2;19.78282733;-72.52876642;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394465;;
osm_394467;Cap Haitien;2;19.69096604;-72.14755427;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394467;;
osm_393483;Cerca La Source;2;19.14303396;-71.77916479;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393483;;
osm_394519;Chardonnieres;2;18.33936396;-74.21005487;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394519;;
osm_393435;Corail;2;18.49528957;-73.92961927;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393435;;
osm_394521;Coteaux;2;18.24192061;-74.02429855;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394521;;
osm_393329;Croix des Bouquets;2;18.53577542;-72.05066773;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_393329;;
osm_392354;Dessalines;2;19.1620164;-72.44519559;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392354;;
osm_394452;Fort Liberte;2;19.58000453;-71.84700988;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394452;;
osm_392359;Gonaives;2;19.46768112;-72.59326363;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392359;;
osm_394488;Grande Riviere du Nord;2;19.51777042;-72.14706259;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394488;;
osm_392360;Gros Morne;2;19.66023224;-72.83097399;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392360;;
osm_393486;Hinche;2;19.12226972;-72.03368;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393486;;
osm_394516;Jacmel;2;18.28998981;-72.47183873;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394516;;
osm_393437;Jeremie;2;18.53432326;-74.22261227;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393437;;
osm_387093;La Gonave;2;18.84269282;-73.04613502;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387093;;
osm_393488;Lascahobas;2;18.8242464;-71.85348875;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393488;;
osm_387650;Leogane;2;18.39611476;-72.76097709;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387650;;
osm_394518;Les Cayes;2;18.28090722;-73.83120147;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394518;;
osm_394493;Limbe;2;19.68973152;-72.40495605;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394493;;
osm_392363;Marmelade;2;19.37075892;-72.34454657;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392363;;
osm_393320;Miragoane;2;18.39409373;-73.15139338;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393320;;
osm_393492;Mirebalais;2;18.86387148;-72.14235124;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393492;;
osm_393374;Mole Saint Nicolas;2;19.77052677;-73.22419562;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393374;;
